#V2 CNUM  V1 CNUM    GLON      GLAT   V2 Field
#---------------------------------------------
    516      410    1.1938    0.0929    l001
    517      413    1.1998    0.0769    l001
    518      412    1.2018    0.2809    l001
    519      415    1.2038    0.1709    l001
    520      419    1.2098   -0.1291    l001
    521      411    1.2098   -0.1011    l001
    522      417    1.2098    0.0989    l001
    523        0    1.2118    0.4049    l001
    524      420    1.2158   -0.4451    l001
    525      421    1.2158   -0.3611    l001
    526      422    1.2178    0.0109    l001
    527      420    1.2198   -0.4271    l001
    528      425    1.2218    0.1249    l001
    529      424    1.2218    0.3689    l001
    530      427    1.2298    0.0589    l001
    531      428    1.2318   -0.3711    l001
    532      429    1.2318   -0.0811    l001
    533      440    1.2338    0.1909    l001
    534      426    1.2338    0.3529    l001
    535      430    1.2358   -0.2031    l001
    536      431    1.2358   -0.0551    l001
    537        0    1.2378   -0.3311    l001
    538      431    1.2398   -0.0471    l001
    539      435    1.2438   -0.3971    l001
    540      436    1.2458   -0.2631    l001
    541      432    1.2458    0.1389    l001
    542      438    1.2518    0.2689    l001
    543      436    1.2538   -0.2471    l001
    544      440    1.2538    0.1949    l001
    545        0    1.2558   -0.4271    l001
    546      426    1.2558    0.3709    l001
    547      444    1.2578   -0.3711    l001
    548      441    1.2598   -0.1791    l001
    549      445    1.2658   -0.1471    l001
    550      443    1.2658   -0.0231    l001
    551      448    1.2678   -0.1891    l001
    552      447    1.2678    0.0549    l001
    553      445    1.2698   -0.1471    l001
    554      449    1.2718   -0.4731    l001
    555      452    1.2718   -0.0911    l001
    556      444    1.2738   -0.3871    l001
    557      452    1.2738   -0.0731    l001
    558        0    1.2738    0.3729    l001
    559      455    1.2778   -0.3391    l001
    560      454    1.2818   -0.2871    l001
    561      453    1.2818   -0.1231    l001
    562        0    1.2818    0.3409    l001
    563      456    1.2858    0.2929    l001
    564      457    1.2878    0.1449    l001
    565        0    1.2878    0.3629    l001
    566        0    1.2878    0.4449    l001
    567      458    1.2898    0.0349    l001
    568      463    1.2918   -0.2531    l001
    569      459    1.2918    0.2749    l001
    570      460    1.2938   -0.2091    l001
    571        0    1.2938    0.3489    l001
    572        0    1.2978   -0.5151    l001
    573      467    1.2978   -0.4051    l001
    574      463    1.2978   -0.2691    l001
    575      464    1.2998    0.1329    l001
    576      465    1.3018    0.0149    l001
    577      467    1.3078   -0.4171    l001
    578      468    1.3078   -0.0291    l001
    579      468    1.3138   -0.0451    l001
    580      471    1.3158   -0.0991    l001
    581      471    1.3178   -0.1431    l001
    582        0    1.3178    0.3909    l001
    583      488    1.3218   -0.3531    l001
    584      474    1.3218   -0.0711    l001
    585      472    1.3258   -0.2171    l001
    586      493    1.3258    0.2369    l001
    587      475    1.3258    0.3369    l001
    588      477    1.3278   -0.2491    l001
    589      479    1.3298    0.1529    l001
    590      478    1.3318   -0.4131    l001
    591        0    1.3338   -0.5051    l001
    592      481    1.3338    0.0969    l001
    593      481    1.3338    0.1089    l001
    594        0    1.3338    0.2929    l001
    595      482    1.3358   -0.2831    l001
    596      486    1.3358    0.2029    l001
    597      484    1.3378   -0.1291    l001
    598      478    1.3438   -0.4251    l001
    599      488    1.3458   -0.3591    l001
    600      504    1.3478   -0.2111    l001
    601      489    1.3478    0.2589    l001
    602      492    1.3498   -0.5151    l001
    603      478    1.3498   -0.4411    l001
    604        0    1.3538    0.3909    l001
    605      493    1.3618    0.2129    l001
    606        0    1.3618    0.3709    l001
    607      495    1.3638   -0.5331    l001
    608      496    1.3638   -0.3451    l001
    609      484    1.3658   -0.1411    l001
    610        0    1.3678    0.1729    l001
    611        0    1.3678    0.2889    l001
    612        0    1.3678    0.3029    l001
    613        0    1.3678    0.4089    l001
    614      510    1.3698   -0.2691    l001
    615        0    1.3718   -0.1651    l001
    616      498    1.3718   -0.0891    l001
    617      499    1.3738   -0.3251    l001
    618        0    1.3738    0.3209    l001
    619      502    1.3778   -0.4651    l001
    620      503    1.3778    0.1149    l001
    621      505    1.3798   -0.2991    l001
    622      497    1.3798    0.0349    l001
    623      504    1.3818   -0.2111    l001
    624        0    1.3818   -0.0531    l001
    625      506    1.3818    0.2009    l001
    626      507    1.3818    0.3849    l001
    627      502    1.3898   -0.4611    l001
    628      510    1.3898   -0.2471    l001
    629      511    1.3918   -0.2311    l001
    630      512    1.3938   -0.0051    l001
    631      516    1.3958   -0.1011    l001
    632      515    1.3958    0.0789    l001
    633        0    1.3958    0.2369    l001
    634      506    1.3998    0.2109    l001
    635      516    1.4018   -0.1051    l001
    636        0    1.4038   -0.4851    l001
    637        0    1.4058    0.4049    l001
    638      515    1.4078    0.0929    l001
    639        0    1.4098   -0.4131    l001
    640      518    1.4098    0.1209    l001
    641      520    1.4118   -0.1871    l001
    642      517    1.4138   -0.3831    l001
    643      516    1.4158   -0.1371    l001
    644        0    1.4198   -0.3511    l001
    645      522    1.4218   -0.2351    l001
    646      520    1.4218   -0.1831    l001
    647      519    1.4218    0.3589    l001
    648      521    1.4238   -0.2031    l001
    649      523    1.4258    0.3049    l001
    650      527    1.4298    0.0749    l001
    651      525    1.4298    0.1309    l001
    652        0    1.4318   -0.0691    l001
    653        0    1.4338   -0.2651    l001
    654      526    1.4338   -0.0031    l001
    655        0    1.4378   -0.5851    l001
    656      527    1.4378    0.0929    l001
    657        0    1.4438   -0.5831    l001
    658      528    1.4438    0.0709    l001
    659        0    1.4478   -0.0331    l001
    660      536    1.4733    0.0396    l004
    661      537    1.4793    0.1936    l004
    662      542    1.4933    0.2516    l004
    663      543    1.4953   -0.1644    l004
    664      546    1.5093    0.1516    l004
    665      549    1.5093   -0.1084    l004
    666      547    1.5153    0.1176    l004
    667      548    1.5153   -0.1944    l004
    668      550    1.5213   -0.2484    l004
    669      549    1.5233   -0.1124    l004
    670      546    1.5373    0.1416    l004
    671      559    1.5473   -0.1504    l004
    672      554    1.5473   -0.0464    l004
    673      554    1.5473   -0.0444    l004
    674      565    1.5733   -0.1784    l004
    675      563    1.5733   -0.1104    l004
    676      567    1.5833   -0.3144    l004
    677      576    1.5913   -0.1004    l004
    678      570    1.5953   -0.2604    l004
    679      572    1.5993    0.0216    l004
    680      574    1.6013   -0.1184    l004
    681      576    1.6073   -0.0904    l004
    682      578    1.6113   -0.1684    l004
    683      579    1.6253    0.0816    l004
    684        0    1.6373    0.0456    l004
    685      587    1.6393    0.0816    l004
    686      580    1.6393   -0.1904    l004
    687      585    1.6433   -0.0364    l004
    688      586    1.6453   -0.2784    l004
    689      585    1.6513   -0.0624    l004
    690      585    1.6513   -0.0324    l004
    691      586    1.6533   -0.2584    l004
    692      587    1.6553    0.0816    l004
    693      590    1.6573   -0.3544    l004
    694      591    1.6593   -0.1764    l004
    695      596    1.6753   -0.1304    l004
    696      597    1.6753   -0.0904    l004
    697      599    1.6793   -0.1704    l004
    698      599    1.6893   -0.1704    l004
    699      603    1.6933   -0.3844    l004
    700      604    1.6993   -0.3684    l004
    701      600    1.6993   -0.2124    l004
    702      601    1.6993   -0.0304    l004
    703      608    1.7053   -0.0564    l004
    704        0    1.7073   -0.3424    l004
    705      608    1.7093   -0.0564    l004
    706      602    1.7113   -0.0884    l004
    707      612    1.7353   -0.4104    l004
    708      614    1.7353   -0.0784    l004
    709      617    1.7473   -0.1024    l004
    710      617    1.7593   -0.0864    l004
    711      618    1.7673   -0.0004    l004
    712      623    1.7953   -0.1264    l004
    713      625    1.7973    0.1656    l004
    714      624    1.7973   -0.1464    l004
    715      623    1.7993   -0.1204    l004
    716      625    1.8033    0.1396    l004
    717        0    1.8073   -0.2204    l004
    718      628    1.8313   -0.2324    l004
    719      630    1.8513   -0.2604    l004
    720      634    1.8513   -0.1464    l004
    721        0    1.8553   -0.0644    l004
    722      633    1.8633   -0.2244    l004
    723      630    1.8653   -0.2364    l004
    724      637    1.8833   -0.0584    l004
    725      638    1.8933   -0.1184    l004
    726      642    1.9093    0.0896    l004
    727      645    1.9333   -0.1264    l004
    728      647    1.9373   -0.3364    l004
    729      646    1.9373   -0.1724    l004
    730      645    1.9433   -0.1204    l004
    731      649    1.9673   -0.1224    l004
    732      651    1.9753   -0.1364    l004
    733      654    1.9813    0.1816    l004
    734      652    1.9833   -0.2884    l004
    735      653    1.9993   -0.2544    l004
    736        0    2.0053   -0.3124    l004
    737      657    2.0053   -0.1864    l004
    738      657    2.0073   -0.2044    l004
    739      657    2.0113   -0.1864    l004
